Date,Hour,DayofWeek,Month,WeekofMonth,MD,MI1,MI2,MI3,MI4,MI5,MI6,MI7,dem,eol,nuc,tot,hid,cco,sol,demres
2014-01-01,1,3,1,1,20.02,25.02,34.95,,,,,,23793.0,10790.0,6111.4,60089.6,14142.8,24214.3,3.5,13196.0
2014-01-01,2,3,1,1,10.34,16.3,28.0,,,,,,22670.0,10885.0,6111.4,60089.6,14142.8,24214.3,0.0,11049.9
2014-01-01,3,3,1,1,5.35,17.09,20.95,,,,,,21164.0,10984.0,6111.4,60089.6,14142.8,24214.3,0.0,8834.6
2014-01-01,4,3,1,1,5.0,3.75,6.69,,,,,,19628.0,10680.0,6111.4,60089.6,14142.8,24214.3,0.5,7144.3
2014-01-01,5,3,1,1,0.5,0.49,4.5,0.0,,,,,18695.0,10605.0,6111.4,60089.6,14142.8,24214.3,2.2,6680.7
2014-01-01,6,3,1,1,0.0,0.0,5.0,0.0,,,,,18355.0,10531.0,6111.4,60089.6,14142.8,24214.3,2.3,6817.2
2014-01-01,7,3,1,1,0.0,0.0,2.0,0.0,,,,,18386.0,10257.0,6111.4,60089.6,14142.8,24214.3,1.0,7328.7
2014-01-01,8,3,1,1,0.0,0.0,4.92,0.0,0.0,,,,18695.0,9895.0,6111.4,60089.6,14142.8,24214.3,1.9,8316.9
2014-01-01,9,3,1,1,0.0,0.0,0.01,0.0,0.0,,,,18695.0,9759.0,6111.4,60089.6,14142.8,24214.3,26.1,8670.0
2014-01-01,10,3,1,1,0.0,0.0,0.01,0.0,0.0,,,,19190.0,9841.0,6111.4,60089.6,14142.8,24214.3,394.5,9454.6
2014-01-01,11,3,1,1,2.0,2.5,4.0,4.9,0.0,,,,21476.0,8889.0,6111.4,60089.6,14142.8,24214.3,911.6,11292.7
2014-01-01,12,3,1,1,4.75,9.75,9.75,14.75,9.75,14.0,,,23052.0,9312.0,6111.4,60089.6,14142.8,24214.3,1279.7,11547.2
2014-01-01,13,3,1,1,5.35,10.7,12.7,15.7,15.45,21.0,,,24164.0,9979.0,6111.4,60089.6,14142.8,24214.3,1410.4,11946.2
2014-01-01,14,3,1,1,4.9,9.9,10.0,14.9,15.0,15.0,,,24627.0,10704.0,6111.4,60089.6,14142.8,24214.3,1375.7,11074.4
2014-01-01,15,3,1,1,0.9,10.0,10.0,15.0,11.0,20.0,,,24195.0,10758.0,6111.4,60075.3,14128.5,24214.3,1247.6,11211.9
2014-01-01,16,3,1,1,0.0,5.0,15.0,5.9,5.0,0.0,10.0,,22658.0,10938.0,6111.4,60075.3,14128.5,24214.3,934.6,11312.7
2014-01-01,17,3,1,1,0.0,2.0,6.69,5.9,0.0,0.0,0.0,,22320.0,11051.0,6111.4,60075.3,14128.5,24214.3,451.7,11407.6
2014-01-01,18,3,1,1,0.0,0.01,5.01,5.9,0.0,0.0,0.01,,22871.0,11489.0,6111.4,60075.3,14128.5,24214.3,45.3,11448.6
2014-01-01,19,3,1,1,5.0,10.0,12.0,10.9,10.91,5.0,25.0,,25112.0,11769.0,6111.4,60075.3,14128.5,24214.3,0.6,12185.3
2014-01-01,20,3,1,1,7.8,10.61,15.0,13.7,8.3,7.8,17.8,,26818.0,11661.0,6111.4,60075.3,14128.5,24214.3,0.0,13438.6
